epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.727178,0.753143,0.411608,0.862553,9.998903417374228e-05
2,0.620415,0.795626,0.409981,0.870033,9.995614150494293e-05
3,0.573101,0.813525,0.394115,0.87424,9.990133642141359e-05
4,0.549792,0.824648,0.365605,0.884993,9.982464296247522e-05
5,0.527632,0.83035,0.336107,0.878448,9.972609476841367e-05
6,0.518509,0.840351,0.329454,0.888266,9.96057350657239e-05
7,0.500636,0.844745,0.326721,0.893876,9.946361664814942e-05
8,0.489074,0.846567,0.354984,0.884993,9.929980185352524e-05
9,0.48816,0.847315,0.313018,0.892006,9.911436253643443e-05
10,0.490607,0.846941,0.345967,0.879383,9.890738003669026e-05
11,0.482408,0.852783,0.302331,0.899486,9.867894514365799e-05
12,0.478051,0.852549,0.307948,0.887798,9.842915805643154e-05
13,0.466791,0.852783,0.295874,0.896681,9.81581283398829e-05
14,0.460478,0.85984,0.300251,0.893876,9.786597487660334e-05
15,0.448656,0.861055,0.317755,0.893876,9.755282581475767e-05
16,0.452318,0.859653,0.403447,0.893408,9.721881851187405e-05
17,0.452652,0.857831,0.367694,0.884525,9.686409947459456e-05
18,0.442014,0.862177,0.481181,0.898083,9.648882429441255e-05
19,0.437706,0.864,0.314211,0.906031,9.609315757942502e-05
20,0.435665,0.865589,0.70198,0.869565,9.567727288213003e-05
21,0.432756,0.867365,0.712979,0.898551,9.524135262330097e-05
22,0.425018,0.868767,0.318834,0.886863,9.478558801197063e-05
23,0.418187,0.872225,0.316179,0.908368,9.431017896156071e-05
24,0.415958,0.870683,0.285489,0.906498,9.381533400219315e-05
25,0.419304,0.87087,0.275918,0.907901,9.33012701892219e-05
26,0.407857,0.873487,0.293542,0.897616,9.276821300802531e-05
27,0.410218,0.873113,0.282776,0.907433,9.221639627510073e-05
28,0.402164,0.874889,0.35351,0.873305,9.164606203550494e-05
29,0.402708,0.874422,0.327888,0.884058,9.105746045668517e-05
30,0.40002,0.875777,0.272279,0.904161,9.045084971874734e-05
31,0.401308,0.875964,0.272383,0.908836,8.982649590120978e-05
32,0.39724,0.878675,0.403561,0.907901,8.918467286629196e-05
33,0.401387,0.877553,0.273762,0.906966,8.852566213878943e-05
34,0.399493,0.876665,0.285685,0.908368,8.784975278258779e-05
35,0.392303,0.879189,0.289797,0.906966,8.715724127386969e-05
36,0.378042,0.882133,0.376121,0.892006,8.644843137107055e-05
37,nan,0.878488,nan,0.056101,8.572363398164014e-05
38,0.376989,0.882647,nan,0.056101,8.498316702566826e-05
39,0.374952,0.885638,nan,0.056101,8.422735529643442e-05
40,0.377471,0.884376,nan,0.056101,8.34565303179429e-05
41,0.374438,0.88447,nan,0.056101,8.267103019950527e-05
42,nan,0.886573,nan,0.056101,8.187119948743448e-05
43,nan,0.882554,nan,0.056101,8.105738901391552e-05
44,nan,0.881292,nan,0.056101,8.022995574311874e-05
45,nan,0.880497,nan,0.056101,7.938926261462365e-05
46,nan,0.883348,nan,0.056101,7.853567838422159e-05
47,nan,0.88447,nan,0.056101,7.76695774621672e-05
48,nan,0.88475,nan,0.056101,7.679133974894982e-05
49,nan,0.880637,nan,0.056101,7.59013504686565e-05
50,nan,0.882086,nan,0.056101,7.499999999999998e-05
51,nan,0.883021,nan,0.056101,7.408768370508574e-05
52,nan,0.880731,nan,0.056101,7.316480175599306e-05
53,nan,0.880544,nan,0.056101,7.223175895924634e-05
54,nan,0.883301,nan,0.056101,7.12889645782536e-05
55,nan,0.883862,nan,0.056101,7.033683215378998e-05
56,nan,0.334486,nan,0.056101,6.937577932260511e-05
57,nan,0.050802,nan,0.056101,6.840622763423387e-05
58,nan,0.050802,nan,0.056101,6.742860236609073e-05
59,nan,0.050802,nan,0.056101,6.644333233692912e-05
60,nan,0.050802,nan,0.056101,6.545084971874734e-05
61,nan,0.050802,nan,0.056101,6.445158984722355e-05
62,nan,0.050802,nan,0.056101,6.344599103076326e-05
63,nan,0.050802,nan,0.056101,6.24344943582427e-05
64,nan,0.050802,nan,0.056101,6.141754350553276e-05
65,nan,0.050802,nan,0.056101,6.039558454088794e-05
66,nan,0.050802,nan,0.056101,5.936906572928621e-05
67,nan,0.050802,nan,0.056101,5.8338437335805085e-05
68,nan,0.050802,nan,0.056101,5.730415142812056e-05
69,nan,0.050802,nan,0.056101,5.626666167821518e-05
70,nan,0.050802,nan,0.056101,5.522642316338266e-05
71,nan,0.050802,nan,0.056101,5.418389216661575e-05
72,nan,0.050802,nan,0.056101,5.313952597646565e-05
73,nan,0.050802,nan,0.056101,5.2093782686459966e-05
