epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.503259,0.825942,0.41052,0.85928,0.00029917828430524096
2,0.401719,0.861149,0.403933,0.86676,0.0002967221401100708
3,0.374916,0.87008,0.38159,0.875175,0.00029265847744427303
4,0.361283,0.875376,0.376553,0.881253,0.0002870318186463901
5,0.342911,0.881971,0.366547,0.877513,0.0002799038105676658
6,0.331393,0.885087,0.33124,0.890136,0.0002713525491562421
7,0.318794,0.889085,0.334326,0.891071,0.00026147172382160914
8,0.306309,0.893655,0.362699,0.888733,0.00025036959095382875
9,0.29576,0.897757,0.350431,0.880318,0.000238167787843871
10,0.27738,0.903313,0.35,0.892006,0.00022500000000000002
11,0.261,0.9097,0.373888,0.886396,0.0002110104964613701
12,0.251355,0.912296,0.363343,0.883123,0.00019635254915624216
13,0.235249,0.917697,0.345074,0.886396,0.00018118675362266393
14,0.219624,0.922318,0.364819,0.894811,0.0001656792694901481
15,0.192462,0.930938,0.390308,0.890603,0.0001500000000000001
16,0.179861,0.936338,0.395023,0.891538,0.00013432073050985205
17,0.153687,0.944283,0.401701,0.888733,0.00011881324637733612
18,0.139339,0.950826,0.43068,0.881253,0.00010364745084375793
19,0.113395,0.958199,0.468487,0.87985,8.898950353863002e-05
20,0.099074,0.964794,0.521486,0.88359,7.500000000000005e-05
21,0.081806,0.971233,0.522055,0.883123,6.183221215612906e-05
22,0.066672,0.9771,0.565882,0.882188,4.963040904617133e-05
23,0.057103,0.980787,0.546972,0.881253,3.852827617839091e-05
24,0.055242,0.98006,0.569908,0.87798,2.8647450843757908e-05
25,0.040493,0.986447,0.603454,0.878448,2.00961894323342e-05
26,0.038371,0.987901,0.597902,0.875175,1.2968181353609857e-05
27,0.033976,0.988992,0.630076,0.88172,7.341522555726972e-06
28,0.028674,0.990497,0.619964,0.88359,3.2778598899291474e-06
29,0.024894,0.992159,0.625892,0.88546,8.2171569475899e-07
30,0.02569,0.991692,0.625641,0.88359,0.0
