epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.76694,0.732159,0.603858,0.837307,9.045084971874738e-06
2,0.595339,0.798009,0.720381,0.837307,6.545084971874738e-06
3,0.542733,0.816937,2.337235,0.764843,3.4549150281252635e-06
4,0.518846,0.829322,1.576321,0.857878,9.549150281252633e-07
5,0.496878,0.837734,0.9696,0.854605,1e-05
6,0.505385,0.834089,0.744772,0.84245,9.755282581475769e-06
7,0.4937,0.84166,0.872168,0.87237,9.045084971874738e-06
8,0.471943,0.846754,0.427023,0.87798,7.938926261462366e-06
9,0.462504,0.850633,0.385371,0.886863,6.545084971874738e-06
10,0.449171,0.857503,0.343728,0.889201,5e-06
11,0.438332,0.860541,0.477701,0.88359,3.4549150281252635e-06
12,0.424027,0.86428,0.33607,0.898083,2.061073738537635e-06
13,0.407997,0.868954,0.370451,0.893876,9.549150281252633e-07
14,0.408497,0.869514,0.311399,0.896681,2.447174185242324e-07
15,0.399044,0.870262,0.44772,0.883123,1e-05
16,0.425648,0.863018,0.293777,0.902758,9.938441702975689e-06
17,0.417749,0.866009,0.268983,0.910238,9.755282581475769e-06
18,0.406709,0.867972,0.311243,0.889668,9.45503262094184e-06
19,0.398274,0.869701,0.320751,0.901823,9.045084971874738e-06
20,0.39554,0.873113,0.408525,0.889201,8.535533905932739e-06
21,0.387102,0.875917,0.439214,0.880785,7.938926261462366e-06
22,0.376485,0.879282,0.29651,0.899953,7.269952498697734e-06
23,0.372901,0.878067,0.450572,0.901356,6.545084971874738e-06
24,0.365744,0.881712,0.353951,0.892941,5.782172325201155e-06
25,0.357027,0.884002,0.501559,0.875643,5e-06
26,0.349344,0.888115,0.280005,0.907901,4.217827674798847e-06
27,0.353305,0.887367,0.234885,0.918654,3.4549150281252635e-06
28,0.342391,0.886853,0.288972,0.906031,2.7300475013022666e-06
29,0.333493,0.890592,0.320852,0.894343,2.061073738537635e-06
30,0.334293,0.890592,0.357747,0.888733,1.4644660940672628e-06
31,0.333072,0.892041,0.265068,0.907433,9.549150281252633e-07
32,0.335048,0.892181,0.23056,0.916784,5.449673790581611e-07
33,0.321697,0.894004,0.255769,0.910238,2.447174185242324e-07
34,0.331634,0.892695,0.248214,0.913511,6.15582970243117e-08
35,0.326299,0.893817,0.242231,0.909303,1e-05
36,0.349072,0.886947,0.248373,0.914446,9.984586668665641e-06
37,0.34901,0.889377,0.255276,0.919589,9.938441702975689e-06
38,0.344157,0.890218,0.243575,0.914914,9.861849601988384e-06
39,0.345891,0.886573,0.202548,0.930809,9.755282581475769e-06
40,0.335391,0.891994,0.224067,0.924264,9.619397662556434e-06
41,0.33218,0.890592,0.213419,0.926601,9.45503262094184e-06
42,0.326123,0.89377,0.202442,0.923329,9.263200821770462e-06
43,0.332807,0.89349,0.191604,0.931276,9.045084971874738e-06
44,0.32205,0.896621,0.22824,0.920991,8.802029828000157e-06
45,0.310736,0.897088,0.209989,0.918654,8.535533905932739e-06
46,0.306106,0.899939,0.218275,0.926134,8.24724024165092e-06
47,0.301016,0.90279,0.185245,0.935484,7.938926261462366e-06
48,0.306883,0.901996,0.225827,0.927536,7.612492823579744e-06
49,0.290402,0.904613,0.210704,0.930341,7.269952498697734e-06
50,0.288392,0.905548,0.2181,0.926134,6.913417161825449e-06
51,0.28412,0.907978,0.208834,0.927536,6.545084971874738e-06
52,0.28797,0.905407,0.200675,0.928939,6.1672268192795285e-06
53,0.273192,0.910455,0.257352,0.914446,5.782172325201155e-06
54,0.265501,0.914053,0.201515,0.936886,5.392295478639226e-06
55,0.268941,0.913493,0.211249,0.929874,5e-06
56,0.259861,0.915923,0.203264,0.926134,4.6077045213607765e-06
57,0.255478,0.914661,0.180952,0.936419,4.217827674798847e-06
58,0.262471,0.916577,0.196227,0.929874,3.832773180720474e-06
59,0.242646,0.918961,0.194806,0.930809,3.4549150281252635e-06
60,0.245893,0.919054,0.176675,0.935016,3.0865828381745515e-06
61,0.242593,0.920923,0.161925,0.947172,2.7300475013022666e-06
62,0.239971,0.921251,0.179432,0.936419,2.387507176420256e-06
63,0.238906,0.921718,0.178307,0.941094,2.061073738537635e-06
64,0.239428,0.92312,0.182253,0.937821,1.7527597583490825e-06
65,0.230856,0.926345,0.177655,0.940626,1.4644660940672628e-06
66,0.225799,0.927139,0.158815,0.945302,1.1979701719998454e-06
67,0.232789,0.926485,0.202667,0.927536,9.549150281252633e-07
68,0.225004,0.930598,0.208964,0.931744,7.367991782295392e-07
69,0.224548,0.926205,0.195368,0.930809,5.449673790581611e-07
70,0.218576,0.928728,0.223876,0.926601,3.8060233744356634e-07
71,0.22432,0.92784,0.255007,0.911641,2.447174185242324e-07
72,0.230413,0.927981,0.190581,0.934081,1.3815039801161723e-07
73,0.225782,0.929242,0.184576,0.939224,6.15582970243117e-08
74,0.218137,0.928448,0.191778,0.931276,1.541333133436018e-08
75,0.222938,0.92957,0.217396,0.923329,1e-05
76,0.247963,0.919194,0.211177,0.928471,9.996145181203616e-06
77,0.258436,0.916577,0.203906,0.927536,9.984586668665641e-06
78,0.251527,0.919942,0.148793,0.950444,9.965342284774633e-06
79,0.255621,0.918447,0.267061,0.909303,9.938441702975689e-06
80,0.254457,0.918166,0.207284,0.934549,9.903926402016153e-06
81,0.237695,0.920269,0.227052,0.935016,9.861849601988384e-06
82,0.23954,0.921765,0.184641,0.939224,9.812276182268236e-06
83,0.233588,0.924288,0.656577,0.870968,9.755282581475769e-06
84,0.231342,0.926532,0.323344,0.910706,9.690956679612422e-06
85,0.237774,0.922466,0.221258,0.927069,9.619397662556434e-06
86,0.232572,0.925223,0.210735,0.923796,9.540715869125407e-06
