epoch,train_loss,train_acc,val_loss,val_acc,lr
1,0.574676,0.800346,0.365801,0.880785,9.938441702975689e-05
2,0.465713,0.840819,0.315783,0.892941,9.755282581475769e-05
3,0.440253,0.853671,0.328675,0.894811,9.45503262094184e-05
4,0.4225,0.857363,0.308586,0.892941,9.045084971874738e-05
5,0.405083,0.864514,0.283555,0.903226,8.535533905932738e-05
6,0.385187,0.869281,0.293328,0.905563,7.938926261462366e-05
7,0.369763,0.875029,0.306416,0.890136,7.269952498697734e-05
8,0.360205,0.878254,0.249986,0.913978,6.545084971874738e-05
9,0.348242,0.881105,0.259226,0.901823,5.782172325201156e-05
10,0.328063,0.887881,0.245846,0.917251,5.000000000000001e-05
11,0.322453,0.890405,0.241923,0.913978,4.217827674798848e-05
12,0.302617,0.897229,0.21726,0.920524,3.454915028125264e-05
13,0.292865,0.900126,0.192871,0.927536,2.730047501302267e-05
14,0.27492,0.908071,0.199958,0.927069,2.0610737385376356e-05
15,0.258407,0.9098,0.180131,0.934081,1.464466094067263e-05
16,0.250189,0.912885,0.170697,0.937821,9.549150281252635e-06
17,0.240476,0.917512,0.157424,0.940159,5.4496737905816115e-06
18,0.233421,0.918119,0.154489,0.939224,2.4471741852423237e-06
19,0.232555,0.919662,0.151745,0.944367,6.155829702431171e-07
20,0.228221,0.921344,0.153199,0.943432,0.0
